,all_trips_v2$member_casual,all_trips_v2$day_of_week,all_trips_v2$ride_length
1,casual,Sunday,2254.257336
2,member,Sunday,939.5537537
3,casual,Monday,1912.747311
4,member,Monday,794.8955911
5,casual,Tuesday,1678.529274
6,member,Tuesday,767.3450698
7,casual,Wednesday,1659.664429
8,member,Wednesday,769.2124217
9,casual,Thursday,1662.346566
10,member,Thursday,766.6219584
11,casual,Friday,1821.106072
12,member,Friday,799.5648164
13,casual,Saturday,2082.597987
14,member,Saturday,915.9313302
